date;id_lysi;treat;carbon;NH4_N;NO3_N;BOB;LAP;NAG;GLS;MUP;MUX;Comments;SW
11.03.2025;26;optimized;low;0.02;0.96;BOB_05;6.691;4.8195;11.1034;45.3772;2.8857;;NA
11.03.2025;27;null;high;0.98;3.27;BOB_09;-0.5131;3.72;9.7938;55.6131;3.4799;;NA
11.03.2025;28;inhibitor;low;0;1.54;NA;NA;NA;NA;NA;NA;NA;NA
11.03.2025;29;inhibitor;high;0.04;2.13;BOB_05;2.4846;3.61;7.1821;41.3087;2.225;;NA
11.03.2025;30;conventional;low;0;1.09;BOB_09;7.6464;4.1708;11.0802;59.2612;3.6933;;NA
11.03.2025;31;inhibitor;high;0.04;1;NA;NA;NA;NA;NA;NA;NA;NA
11.03.2025;32;inhibitor;low;0.02;0.91;BOB_05;0.9109;3.3516;8.9842;58.4224;2.4107;;NA
08.04.2025;1;null;high;0.11;3.46;BOB_05;-4.4139;3.9113;7.5685;35.7586;2.6935;;NA
08.04.2025;2;null;low;0.11;1.62;BOB_06;-0.667;5.1431;12.8313;44.878;2.814;;NA
08.04.2025;3;conventional;high;0.13;5.19;BOB_09;6.2604;7.3388;16.5626;58.9403;4.8966;;NA
08.04.2025;4;conventional;low;0.1;3.16;BOB_05;13.0357;8.4073;17.9264;55.5924;4.767;;NA
08.04.2025;5;optimized;high;0.11;4.46;BOB_06;10.4859;4.1081;17.8563;40.5735;3.6087;;NA
08.04.2025;6;null;low;0.09;1.73;BOB_09;13.4457;10.1449;20.7946;85.8686;6.2507;;NA
08.04.2025;7;optimized;high;0.12;3.72;BOB_05;7.4518;5.8774;11.5929;46.779;3.2652;;NA
08.04.2025;8;inhibitor;low;0.69;10.78;BOB_06;14.4253;7.2668;23.7659;58.3263;6.0587;;NA
08.04.2025;9;null;high;0.11;3.37;BOB_09;9.0373;5.1822;12.3037;48.3494;4.5059;;NA
08.04.2025;10;null;low;0.1;1.38;BOB_05;17.7522;7.1947;26.276;81.4072;5.5945;;NA
08.04.2025;11;inhibitor;high;0.57;7.66;BOB_06;7.3714;5.8986;12.4516;60.5501;4.1495;;NA
08.04.2025;12;inhibitor;low;0.12;5.08;BOB_09;18.6935;11.1833;28.7058;119.8549;6.9482;;NA
08.04.2025;13;inhibitor;high;1.6;6.73;BOB_05;8.7844;5.1767;10.4986;54.5201;3.4164;;NA
08.04.2025;14;conventional;low;0.13;5.86;BOB_06;21.9334;8.4513;20.6741;68.8559;4.357;;NA
08.04.2025;15;optimized;high;0.14;4.25;BOB_09;12.0501;7.1287;15.5357;74.2421;5.0847;;NA
08.04.2025;16;conventional;low;0.14;3.99;BOB_05;17.638;6.5088;19.3818;68.1768;3.8842;;NA
08.04.2025;17;conventional;high;0.15;7.05;BOB_06;9.3312;5.1735;11.1555;54.3363;3.5614;;NA
08.04.2025;18;null;low;0.11;1.29;BOB_09;20.4435;9.1307;17.9999;108.832;4.712;;NA
08.04.2025;19;conventional;high;0.13;5.47;BOB_05;7.4294;6.8301;11.2361;50.0286;3.821;;NA
08.04.2025;20;optimized;low;0.11;2.3;BOB_06;24.2349;7.5993;20.9863;81.5355;5.441;;NA
08.04.2025;21;null;high;0.11;3.29;BOB_09;10.2367;7.2575;11.4239;44.3303;3.7469;;NA
08.04.2025;22;optimized;low;0.09;3.02;BOB_05;12.27;5.7642;20.3447;60.3562;3.8665;;NA
08.04.2025;23;optimized;high;0.08;4.37;BOB_06;9.4835;6.2797;10.9076;48.28;3.6769;;NA
08.04.2025;24;optimized;low;0.09;3;BOB_09;11.0011;7.2427;18.5565;72.9271;5.3177;;NA
08.04.2025;25;conventional;high;0.1;5.5;BOB_05;10.7418;6.3681;10.6621;45.5351;3.8848;;NA
08.04.2025;26;optimized;low;0.08;2.54;BOB_06;19.8003;7.5192;19.3424;64.9602;4.9797;;NA
08.04.2025;27;null;high;0.1;5.22;BOB_09;2.0685;4.3264;9.3268;56.1921;3.6845;;NA
08.04.2025;28;inhibitor;low;0.13;8.48;BOB_05;10.9641;5.855;15.1279;58.9336;4.4416;;NA
08.04.2025;29;inhibitor;high;2.31;8.41;BOB_06;11.227;6.2136;15.7582;54.0873;3.9611;;NA
08.04.2025;30;conventional;low;0.14;8.91;BOB_05;11.9759;5.3747;13.1966;62.7629;3.8256;;NA
08.04.2025;31;inhibitor;high;0.27;4.09;BOB_06;6.7112;5.3127;12.1618;51.2715;3.2893;;NA
08.04.2025;32;inhibitor;low;0.13;4.09;BOB_09;8.428;6.7776;18.4389;82.0412;4.9343;;NA
13.05.2025;1;null;high;0.49;0.65;BOB_05;-6.4906;3.0304;7.3428;38.5793;2.4211;;0.26
13.05.2025;2;null;low;0.11;0.64;BOB_06;9.3771;4.8137;11.5743;55.9153;3.0798;;0.26
13.05.2025;3;conventional;high;0.25;1.01;BOB_09;5.6676;5.4868;8.9678;47.4172;3.9323;;0.23
13.05.2025;4;conventional;low;0.43;0.99;BOB_05;16.7609;7.9403;17.6412;41.6499;4.5899;;0.13
13.05.2025;5;optimized;high;0.21;0.71;BOB_06;5.795;4.5516;7.9395;40.3812;3.4801;;0.19
13.05.2025;6;null;low;0.16;0.55;BOB_09;8.7724;5.1729;16.1512;70.0949;3.8847;;0.17
13.05.2025;7;optimized;high;0.72;2.16;BOB_05;5.6301;5.3716;8.6857;43.4413;3.3895;;0.21
13.05.2025;8;inhibitor;low;0.17;0.49;BOB_06;15.7563;6.6002;13.4717;57.2504;5.7326;;0.24
13.05.2025;9;null;high;0.68;0.8;BOB_09;5.0595;5.518;11.5146;52.5272;4.2217;;0.29
13.05.2025;10;null;low;0.15;0.53;BOB_05;20.9534;7.0005;17.7782;69.9317;3.3783;;0.16
13.05.2025;11;inhibitor;high;0.62;0.71;BOB_06;14.6207;8.6111;13.3187;55.1773;5.3038;;0.2
13.05.2025;12;inhibitor;low;13.02;8.68;BOB_09;26.4895;6.2712;20.0219;63.2543;5.5078;;0.01
13.05.2025;13;inhibitor;high;0.91;1.21;BOB_05;9.2563;6.9021;11.5713;42.8224;3.9882;;0.19
13.05.2025;14;conventional;low;0.2;0.81;BOB_06;25.5925;8.4088;17.4845;58.4731;6.0843; Well C4_MUP is contaminated.;0.14
13.05.2025;15;optimized;high;0.46;0.71;BOB_09;18.1032;7.0451;13.1522;62.5129;5.4806;;0.25
13.05.2025;16;conventional;low;0.18;0.7;BOB_05;21.3294;6.2783;20.9329;69.7838;7.7156;;0.18
13.05.2025;17;conventional;high;0.18;0.8;BOB_06;7.8195;5.7251;10.7593;49.7812;4.2046;;0.19
13.05.2025;18;null;low;0.13;0.57;BOB_09;14.6605;6.2822;15.9186;100.7913;4.3792;;0.24
13.05.2025;19;conventional;high;0.36;1.72;BOB_05;8.7705;4.7153;11.3019;38.5925;4.9539;;0.24
13.05.2025;20;optimized;low;0.2;0.67;BOB_06;14.7496;6.8678;21.2264;48.7;6.1708;;0.14
13.05.2025;21;null;high;0.15;0.65;BOB_09;11.1309;5.8194;15.2082;44.4622;4.5148;;0.22
13.05.2025;22;optimized;low;0.16;0.97;BOB_05;19.9208;11.0717;22.9729;67.3953;6.0232;;0.16
13.05.2025;23;optimized;high;0.26;0.62;BOB_06;10.1219;6.1274;10.4873;36.581;3.971;;0.2
13.05.2025;24;optimized;low;0.14;0.54;BOB_09;25.8341;7.3796;20.5582;56.8438;5.6756;;0.15
13.05.2025;25;conventional;high;0.36;0.85;BOB_05;10.3674;5.2602;10.919;40.0866;4.5905;;0.29
13.05.2025;26;optimized;low;0.14;0.55;BOB_06;31.3008;7.3409;21.1285;48.2139;5.7095;;0.14
13.05.2025;27;null;high;0.32;1.27;BOB_09;8.4099;7.3642;12.12;43.7682;3.5867;;0.24
13.05.2025;28;inhibitor;low;11.06;9.9;BOB_05;12.3632;8.9407;15.2811;57.829;3.7401;;0.23
13.05.2025;29;inhibitor;high;0.56;0.86;BOB_06;11.7203;10.3285;12.6389;45.4379;4.2796;;0.21
13.05.2025;30;conventional;low;0.11;0.82;BOB_09;15.1985;7.0701;20.6413;66.6328;5.2067;;0.17
13.05.2025;31;inhibitor;high;9.62;8.22;BOB_06;14.9659;4.5193;9.4744;44.0089;3.3672;;0.24
13.05.2025;32;inhibitor;low;32.24;18.67;BOB_05;15.2542;4.31;15.3191;48.6662;4.603;;0.14
18.06.2025;1;null;high;0.88;1.17;BOB_05;9.5631;4.7119;8.4765;33.5617;2.8967;;NA
18.06.2025;2;null;low;0.13;0.89;BOB_05;28.3745;7.9143;11.4219;46.6485;3.898;;NA
18.06.2025;3;conventional;high;1.22;1.28;BOB_06;10.0681;5.5773;11.2148;36.9611;5.1354;;NA
18.06.2025;4;conventional;low;0.52;1.83;BOB_06;30.7929;7.922;19.3993;42.5845;6.6718;;NA
18.06.2025;5;optimized;high;1.11;1.5;BOB_09;10.9208;6.6049;9.8664;37.8843;3.8481;;NA
18.06.2025;6;null;low;0.19;0.91;BOB_05;22.3509;6.4333;17.6506;35.2498;6.1135;;NA
18.06.2025;7;optimized;high;0.57;1.47;BOB_06;17.9595;5.3852;14.4528;46.1609;5.7472;;NA
18.06.2025;8;inhibitor;low;0.1;0.81;BOB_06;32.3035;6.5325;20.7553;61.1797;7.6713;;NA
18.06.2025;9;null;high;0.88;1.45;BOB_05;13.8377;6.2902;10.187;26.2146;5.1039;;NA
18.06.2025;10;null;low;0.3;0.9;BOB_05;25.1515;5.8852;15.7091;39.9105;4.3469;;NA
18.06.2025;11;inhibitor;high;1.09;1.08;BOB_05;12.4082;3.9422;9.2602;2.0654;4.0812; Well C3_GLS is contaminated.;NA
18.06.2025;12;inhibitor;low;0.55;0.65;BOB_06;30.4509;7.3351;22.3928;36.5448;6.1721;;NA
18.06.2025;13;inhibitor;high;1.64;0.72;BOB_09;10.0417;4.6288;8.3033;13.2976;5.6861;;NA
18.06.2025;14;conventional;low;0.68;0.87;BOB_09;32.9371;8.9547;21.1317;35.9251;8.5307;;NA
18.06.2025;15;optimized;high;0.64;1.76;BOB_06;11.1649;4.8516;11.7971;23.8041;5.332;;NA
18.06.2025;16;conventional;low;0.37;0.8;BOB_05;17.588;7.8775;19.1248;42.915;6.2766;;NA
18.06.2025;17;conventional;high;0.8;1.89;BOB_05;15.4751;4.9375;11.1427;30.0442;3.2361;;NA
18.06.2025;18;null;low;0.09;0.79;BOB_06;31.6487;8.1043;17.9147;22.2429;5.5545;;NA
18.06.2025;19;conventional;high;1.39;1.86;BOB_06;10.6253;6.5246;10.392;12.4812;3.6615; Well C3_GLS is contaminated.;NA
18.06.2025;20;optimized;low;0.62;4.12;BOB_09;29.7932;9.1308;23.5232;37.4443;6.4606;;NA
18.06.2025;21;null;high;0.52;0.89;BOB_06;17.7573;6.0495;12.0957;16.583;4.5783;;NA
18.06.2025;22;optimized;low;0.16;0.98;BOB_09;33.4707;5.8926;16.5034;29.2172;4.643;;NA
18.06.2025;23;optimized;high;0.25;2.38;BOB_05;7.7509;5.5161;11.6028;29.7041;3.3158;;NA
18.06.2025;24;optimized;low;0.36;0.82;BOB_05;26.8143;7.3578;17.3217;42.144;5.5119;;NA
18.06.2025;25;conventional;high;0.88;1.26;BOB_09;12.3752;4.8583;9.2148;3.2643;3.611;;NA
18.06.2025;26;optimized;low;0.19;0.81;BOB_06;31.7622;5.7057;16.5942;52.1953;5.6722;;NA
18.06.2025;27;null;high;0.92;1.56;BOB_09;14.6308;5.4008;7.9354;16.6162;5.3533;;NA
18.06.2025;28;inhibitor;low;0.33;0.82;BOB_09;21.1275;7.7639;20.2669;25.338;6.2965;;NA
18.06.2025;29;inhibitor;high;1.04;1.28;BOB_05;10.6046;4.8276;8.01;18.9344;2.7262;;NA
18.06.2025;30;conventional;low;0.55;0.89;BOB_09;21.9637;7.923;27.4416;28.3514;8.9478;;NA
18.06.2025;31;inhibitor;high;1.43;0.86;BOB_09;16.6668;5.255;10.2987;27.4629;3.1894;;NA
18.06.2025;32;inhibitor;low;0.73;3.04;BOB_06;16.308;7.5085;17.2762;13.4672;5.9159;;NA
24.07.2025;1;null;high;0.05;1.84;BOB_05;8.2773;4.9408;8.429;36.9381;3.4996;;NA
24.07.2025;2;null;low;0.01;1.75;BOB_06;25.5366;7.3394;25.4133;114.7089;6.6806;;NA
24.07.2025;3;conventional;high;0.12;8.33;BOB_09;15.0889;5.8065;9.8967;43.6493;4.6642; Well C3_GLS is contaminated.;NA
24.07.2025;4;conventional;low;0.01;2.49;BOB_06;12.4504;4.4178;18.3807;56.3856;4.7394;;NA
24.07.2025;5;optimized;high;0.06;6;BOB_09;3.5471;4.5355;8.134;48.9841;3.7112;;NA
24.07.2025;6;null;low;0.02;2.06;BOB_05;6.5223;5.4246;22.3546;84.1508;7.2152;;NA
24.07.2025;7;optimized;high;0.08;3.51;BOB_05;18.2272;6.2771;11.0909;47.0738;6.2297; Well C3_GLS is contaminated.;NA
24.07.2025;8;inhibitor;low;0.04;2.51;BOB_06;12.2279;4.4061;19.9423;62.7427;6.7073;;NA
24.07.2025;9;null;high;0.21;2.55;BOB_09;19.6836;7.8688;12.3802;43.0937;5.2857;;NA
24.07.2025;10;null;low;0.01;2.16;BOB_05;21.8529;5.3131;17.0992;76.7492;6.0124;;NA
24.07.2025;11;inhibitor;high;0.13;6.34;BOB_06;14.4454;4.4802;11.107;56.1331;4.9018;;NA
24.07.2025;12;inhibitor;low;0.03;2.37;BOB_09;16.5342;3.9374;21.1475;68.4551;4.6878;;NA
24.07.2025;13;inhibitor;high;0.07;3.64;BOB_05;12.9874;7.9596;11.4791;51.4339;5.1134;;NA
24.07.2025;14;conventional;low;0.06;2.91;BOB_06;16.6334;8.5528;28.9397;82.1385;8.4355;;NA
24.07.2025;15;optimized;high;0.05;1.76;BOB_09;9.6197;3.9631;12.5335;50.089;4.5146;;NA
24.07.2025;16;conventional;low;0.04;3.56;BOB_05;8.9693;8.5801;24.2625;58.8847;7.9126;;NA
24.07.2025;17;conventional;high;0.04;4.34;BOB_06;6.628;3.3669;14.5957;38.3602;3.9718;;NA
24.07.2025;18;null;low;0.04;1.79;BOB_09;15.7933;5.7569;22.3233;66.8857;6.8516;;NA
24.07.2025;19;conventional;high;0.04;5.63;BOB_05;15.9069;4.5381;14.1643;45.4654;5.0245;;NA
24.07.2025;20;optimized;low;0;1.61;BOB_06;14.6706;5.2476;19.7564;63.8999;6.6834; Well C3_GLS is contaminated.;NA
24.07.2025;21;null;high;0.2;1.64;BOB_09;11.324;4.9119;11.6635;61.5262;5.6407;;NA
24.07.2025;22;optimized;low;0.02;1.69;BOB_05;15.4994;4.3659;14.3766;57.5308;5.8273;;NA
24.07.2025;23;optimized;high;0.06;3.15;BOB_06;15.2116;5.6037;10.5905;44.4765;4.5055;;NA
24.07.2025;24;optimized;low;0.02;2.2;BOB_09;17.9371;7.8008;23.9905;66.1387;5.1348;;NA
24.07.2025;25;conventional;high;0.04;2.46;BOB_05;10.7807;7.7127;14.6006;52.9817;4.9836;;NA
24.07.2025;26;optimized;low;0.04;2.96;BOB_06;21.8447;4.4318;24.4878;70.6365;6.6728;;NA
24.07.2025;27;null;high;0.04;2.58;BOB_09;17.1595;4.315;10.3333;51.4005;4.6375;;NA
24.07.2025;28;inhibitor;low;0.03;2.42;BOB_05;15.723;4.0427;16.6235;62.1446;4.4228;;NA
24.07.2025;29;inhibitor;high;0.1;3.81;BOB_06;17.4654;6.0977;12.3522;57.7406;5.4026;;NA
24.07.2025;30;conventional;low;0.04;5.69;BOB_09;24.0469;6.8578;23.803;59.9935;5.8832;;NA
24.07.2025;31;inhibitor;high;0.1;2.55;BOB_05;12.4334;5.7939;11.8091;47.8076;4.4574; Well C3_GLS is contaminated.;NA
24.07.2025;32;inhibitor;low;0.05;1.92;BOB_06;26.5001;8.9748;29.1128;87.1197;9.7499;;NA
