id_lysi,date,volume,method,NO3_N,NH4_N,SO4,NO2_N,Chlorid,Phosphat,Bromid,Lithium,Natrium,Kalium,Magnesium,Calcium,Fluorid
17,2024-10-11,16.12,IC,64.74,0,226.18,0.03,868.45,0,0,0.03,99.76,420.87,116.75,434.23,0
18,2024-10-11,20.79,IC,63.67,0,68.18,0.03,28.15,0,0,0,7.12,7.14,17.91,212.9,0.11
19,2024-10-11,18.12,IC,58.35,0,214.31,0.29,747.53,0,0,0.03,96.47,503.73,95.17,353.04,0
20,2024-10-11,19.74,IC,81.17,0,96.8,0.04,54.29,0,0,0.02,8.95,7.76,22.7,280.04,0.09
21,2024-10-11,18.22,IC,37.16,0,211.03,0.1,768.14,0,0,0.03,92.24,429.93,106.11,346.86,0
22,2024-10-11,15.71,IC,67.47,0,93.1,0.04,57.02,0,0,0.02,8.6,9.15,15.59,188.26,0.16
23,2024-10-11,18.02,IC,44.48,0,196.46,0.11,690.38,0,0,0.03,89.37,429.67,105.46,347,0
24,2024-10-11,19.06,IC,22.82,0,95.31,0.03,51.03,0,0,0.02,8.49,8.65,17.06,164.65,0.11
25,2024-10-11,18,IC,54.9,0,206.39,0.06,685.8,0,0,0.03,89.67,426.28,105.86,356.56,0
26,2024-10-11,18.22,IC,73.62,0,97.4,0.03,50.2,0,0,0.02,11.1,7.22,22.48,222.11,0.07
27,2024-10-11,15.5,IC,27.2,0,213.76,0.04,777.85,0,0,0.03,92.89,420.07,107.8,396.93,0.01
28,2024-10-11,18.02,IC,116.68,0,122.63,0,128.37,0,0,0.02,12.71,8.42,26.93,316.66,0.07
29,2024-10-11,9.16,IC,9.5,0,153.37,0.15,646.92,0,0,0.02,85.88,459.68,109.29,288.34,0.04
30,2024-10-11,20.54,IC,127.34,0,114.85,0.05,89.77,0,0,0.02,11.17,10.62,26.73,320.39,0.05
31,2024-10-11,19.64,IC,60.95,0,182.34,0.27,646.07,0,0,0.03,87.4,439.5,103.43,348.5,0.15
32,2024-10-11,18.25,IC,114.79,0,111.1,0.04,67.17,0,0,0.02,10.62,9.47,24.81,286.46,0.08
1,2024-10-25,9.2,IC,0.66,0.02,129.75,0.02,463.66,0.01,0,0.02,66.8,366.09,71.34,225.75,0.19
2,2024-10-25,9.58,IC,0.16,0,90.07,0.02,19.98,0,0,0,5.99,3.92,15.16,141.16,0.1
3,2024-10-25,9.4,IC,1.02,0,147.71,0.04,407.66,0.01,0,0.02,77.42,369.02,82.87,222.55,0.11
4,2024-10-25,9.86,IC,20.73,0,76.44,0.03,9.62,0,0,0.02,6.69,9.07,13.11,138.88,0.13
5,2024-10-25,8.54,IC,11.14,0,194.4,0.05,641.39,0,0,0.03,94.88,430.15,94.47,288.29,0.1
6,2024-10-25,9.47,IC,1.74,0,90.18,0,5.32,0,0,0,4.74,4.67,10.51,99.11,0.14
7,2024-10-25,9.2,IC,3.87,0,151.71,0.04,463.49,0,0,0.02,79.12,400.54,87.76,277,0.11
8,2024-10-25,9.77,IC,21.07,0,76.95,0.02,13.9,0,0,0,4.8,4.06,14.13,154.43,0.11
9,2024-10-25,9.68,IC,0.24,0,128.61,0.03,389.03,0.17,0,0.02,77.07,362,75.75,248.8,0.13
10,2024-10-25,10.21,IC,0.2,0,84.52,0.02,2.57,0,0,0.02,5.36,5.68,10.26,107.24,0.14
11,2024-10-25,9.13,IC,0.95,0,157.42,0.03,427.5,0,0,0.02,76.46,316.46,71.83,223.93,0.14
12,2024-10-25,10.05,IC,5.94,0,81.01,0.02,10.75,0,0,0.02,5.72,8.36,12.31,120.96,0.13
13,2024-10-25,9.23,IC,0.94,0,156.94,0.03,415.25,0.01,0,0.03,83.12,394.66,76.63,238.35,0.14
14,2024-10-25,10.08,IC,8.43,0,78.99,0.02,8.43,0,0,0.02,5.58,8.52,11.67,112.75,0.14
15,2024-10-25,9.34,IC,0.71,0.02,182.9,0.04,501.56,0,0,0.02,78.7,335.38,81.43,286.26,0
16,2024-10-25,9.68,IC,15.43,0,82.28,0.03,21.26,0,0,0.02,5.95,6.99,16.59,177.49,0.11
17,2024-10-25,9.22,IC,13.87,0,191.76,0.03,671.45,0,0,0.03,96.51,381.3,104.81,372,0.01
18,2024-10-25,9.94,IC,14.6,0.02,50.09,0.02,6.6,0,0,0.02,4.97,9.25,13.59,148.43,0.13
19,2024-10-25,9.43,IC,3.55,0,177.62,0.16,446.09,0,0,0.03,89.4,418.01,78.98,225.79,0.14
20,2024-10-25,8.93,IC,0.92,0,87.49,0.02,6.11,0,0,0.02,6.2,7.19,14.64,161.01,0.1
21,2024-10-25,9.11,IC,1.38,0,185.43,0.13,520.77,0,0,0.03,86.51,364.07,89.78,269.34,0.13
22,2024-10-25,9.78,IC,6.36,0.04,89.34,0.03,18.71,0,0,0.02,5.09,8.6,11.38,109.34,0.15
23,2024-10-25,9.36,IC,0.09,0,81.63,0.02,6.29,0,0,0.03,7.83,9.22,13.07,100.85,0.13
24,2024-10-25,9.57,IC,2.38,0.01,145.87,0.03,457.45,0.01,0,0.03,79.47,365.59,87.78,245.39,0.12
25,2024-10-25,8.82,IC,7.39,0,173.87,0.03,471.25,0,0,0.03,84.06,358.87,88.86,241.24,0.11
26,2024-10-25,9.9,IC,4.53,0,79.92,0.02,11.21,0,0,0.02,5.97,4.54,15.41,125.5,0.11
27,2024-10-25,8.89,IC,0.41,0,195.88,0.03,582.45,0,0,0.03,89.04,371.57,94.48,317.45,0.01
28,2024-10-25,9.27,IC,7.33,0.01,127.48,0.02,56.81,0,0,0.02,6.96,4.38,16.85,161.33,0.11
29,2024-10-25,5.18,IC,3.54,0,49.22,0.03,412.89,0,0,0.02,77.31,414.9,94.89,271.22,0.05
30,2024-10-25,9.96,IC,29.39,0,99.29,0.04,44.39,0,0,0.02,8.01,6.78,18.13,183.22,0.09
31,2024-10-25,10.02,IC,0.9,0.03,39.63,0.03,456.39,0.02,0,0.03,79.13,388.42,86.87,250.78,0.15
32,2024-10-25,8.3,IC,14.54,0,100.3,0.02,29.1,0,0,0.02,7.19,4.68,19.55,206.98,0.1
1,2024-11-05,2.03,IC,2.48,0.03,130.08,0.03,425.82,0,0,0.03,66.43,363,64.74,156.31,0.19
2,2024-11-05,1.77,IC,0.07,0,90.3,0.02,9.38,0,0,0,7.56,7.44,13.99,144.45,0.12
3,2024-11-05,1.86,IC,2.57,0,154.77,0.03,383.41,0,0,0.02,78.44,365.01,80.06,159.57,0.11
4,2024-11-05,1.5,IC,6.54,0.01,74.22,0.04,2.69,0,0,0.03,9.38,20.14,10.01,79.88,0.15
5,2024-11-05,2.38,IC,19.7,0,196.23,0.04,575.54,0,0,0.03,94.88,444.54,86.46,199.7,0.11
6,2024-11-05,1.77,IC,0.4,0,81.57,0,0.46,0,0,0,6.2,6.43,8.48,63.06,0.16
7,2024-11-05,1.7,IC,3.46,0.02,151.14,0.03,397.61,0,0,0.03,74.53,389.97,81.48,211.58,0.1
8,2024-11-05,1.61,IC,8.27,0,77.15,0.02,4.26,0,0,0,6.65,7.5,10.95,90.43,0.13
9,2024-11-05,2.39,IC,1.06,0,148.55,0.09,388.83,0,0,0.03,81.25,369.72,74.97,163.95,0.13
10,2024-11-05,1.71,IC,0,0,67.96,0.02,0.33,0,0,0.03,7.31,11.26,8.24,70.78,0.16
11,2024-11-05,2.25,IC,5.08,0.05,158.55,0.03,387.43,0,0,0.03,73.06,331.27,65.08,161.9,0.15
12,2024-11-05,1.78,IC,3.87,0,72.91,0,3.81,0,0,0.03,12.82,27.77,10.52,78.36,0.15
13,2024-11-05,2.22,IC,3.24,0,148.93,0.03,326.16,0,0,0.03,84.21,397.11,71.03,117.81,0.12
14,2024-11-05,1.61,IC,1.8,0,76.51,0.02,1.88,0,0,0.02,10.04,18.86,9.38,72.36,0.16
15,2024-11-05,2.17,IC,1.92,0,166.29,0.03,405.94,0,0,0.02,81.75,330.11,74.43,165.4,0.13
16,2024-11-05,1.69,IC,6.07,0,77.34,0.03,9.85,0,0,0.02,9.57,14.36,14.83,117.81,0.11
17,2024-11-05,2.38,IC,16.99,0,206.64,0.02,585.45,0,0,0.03,95.77,395.04,98.51,237.04,0.11
18,2024-11-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,2024-11-05,2.19,IC,7.56,0,167.19,0.04,365.54,0,0,0.03,90.25,402.59,68.65,130.4,0.15
20,2024-11-05,1.61,IC,0.07,0,78.66,0.05,0.6,0,0,0.02,8.82,12.8,13.96,131.13,0.1
21,2024-11-05,2,IC,2.65,0,178.95,0.03,438.6,0.11,0,0.03,85.87,360,82.26,161.17,0.12
22,2024-11-05,1.52,IC,3.31,0,82.13,0.02,6.63,0,0,0.02,8.7,17.16,8.94,81.46,0.16
23,2024-11-05,2.07,IC,3.49,0,165.67,0.04,434.75,0,0,0.03,86.87,369.33,83.58,170.8,0.13
24,2024-11-05,1.75,IC,0,0,79.03,0,1.65,0,0,0.02,8.55,10.15,10.05,73.15,0.16
25,2024-11-05,2.16,IC,6.81,0.02,170.23,0.04,428.51,0,0,0.03,79.81,360,84,257.15,0.15
26,2024-11-05,1.29,IC,1.26,0,77.24,0.02,2.34,0,0,0.02,7.79,7.08,13.11,93.58,0.11
27,2024-11-05,1.94,IC,0.67,0,190.36,0.03,525.12,0.02,0,0.03,87.7,364.17,87.29,248.61,0.17
28,2024-11-05,1.46,IC,4.33,0,121.04,0.04,32.65,0,0,0.02,12.88,10.43,13.58,113.25,0.14
29,2024-11-05,0.9,IC,1.23,0,119.73,0.09,363.63,0,0,0.02,76.05,406.66,92.65,120.68,0.04
30,2024-11-05,1.7,IC,11.75,0,93.36,0.05,24.97,0,0,0.02,9.77,10.46,14.23,127.32,0.13
31,2024-11-05,1.69,IC,1.56,0,135.54,0.02,401.37,0,0,0.03,83.37,382.66,74.26,193.84,0.19
32,2024-11-05,1.4,IC,10.36,0,99.9,0.02,17.11,0,0,0.03,13.46,12.53,19.75,165.06,0.13
1,2024-11-20,1.2,IC,5.59,0,128.5,0.02,394.53,0,0,0.02,67.04,308.66,56.42,146.4,0.2
2,2024-11-20,0.65,IC,2.42,0,98.85,0,18.68,0,0,0.02,20.1,22.2,13.58,113.39,0.11
3,2024-11-20,0.18,IC,4.59,0,158.43,0,416.33,0,0,0.03,79.37,299.39,72.61,128.28,0.1
4,2024-11-20,0.35,IC,8.34,0,73.24,0,3.07,0,0,0.02,15.77,26.53,8.07,54.07,0.13
5,2024-11-20,1.13,IC,22.09,0,191.55,0,499.33,0,0,0.03,93.53,387.15,71.43,183.58,0.11
6,2024-11-20,0.56,IC,2.4,0,84.54,0,2.54,0,0,0.02,13.46,13.45,7.62,49.98,0.16
7,2024-11-20,0.42,IC,5.9,0,153.26,0.03,386.02,0,0,0.03,77.68,350.16,76.03,141.37,0.06
8,2024-11-20,0.27,IC,12.49,0,77.85,0,7.47,0,0,0,14.58,10.75,9.69,69.37,0.12
9,2024-11-20,1.4,IC,3.62,0,148.81,0.03,350.77,0.06,0,0.03,77.57,321.88,57.67,128.28,0.17
10,2024-11-20,0.47,IC,3.58,0,76.28,0.02,3.7,0,0,0.02,21.47,27.38,6.5,48.2,0.16
11,2024-11-20,1.33,IC,8.91,0,153.65,0.03,327.87,0.02,0,0.03,74.25,274.16,52.84,133.19,0.17
12,2024-11-20,0.61,IC,6.91,0,73.75,0.02,6.3,0,0,0.04,29.18,70.83,8.82,48.38,0.18
13,2024-11-20,1.13,IC,8.56,0,149.24,0.04,279.02,0,0,0.03,82.45,346.12,52.86,103.55,0.16
14,2024-11-20,0.47,IC,9.5,0,84.12,0.02,5.52,0,0,0.04,25.89,44.93,7.84,50.52,0.17
15,2024-11-20,1.1,IC,7.07,0,174.22,0.03,390.79,0,0,0.03,80.07,280.3,61.02,165.59,0.1
16,2024-11-20,0.54,IC,16.85,0,92.61,0.03,15.19,0,0,0.03,25.3,28,16.39,93.22,0.1
17,2024-11-20,1.15,IC,20.57,0,200.71,0.04,501.69,0,0,0.03,92.74,338.19,79.89,196.85,0.14
18,2024-11-20,2.53,IC,6.54,0,52.03,0.02,2.52,0,0,0.02,10.31,16.21,13.74,92.18,0.1
19,2024-11-20,1.2,IC,12.21,0,161.86,0.04,301.12,0,0,0.04,93.62,352.5,51.84,113.79,0.18
20,2024-11-20,0.5,IC,0.86,0,82.65,0.04,4.55,0,0,0.03,20.31,30.94,13.56,95.27,0.09
21,2024-11-20,1.09,IC,6.79,0,176.79,0.04,382.4,0,0,0.03,83.43,307.74,65.02,148.43,0.16
22,2024-11-20,0.51,IC,7.06,0.02,83.95,0.03,9.7,0,0,0.03,17.6,34.26,7.65,58.1,0.17
23,2024-11-20,1.04,IC,9.07,0.02,162.71,0.03,366.17,0,0,0.04,82.78,324.57,64.04,139.25,0.15
24,2024-11-20,0.64,IC,1.07,0,83.03,0.02,5.14,0,0,0.02,14.15,16.97,8.24,56.58,0.2
25,2024-11-20,0.99,IC,13.6,0,175.19,0.03,395.59,0,0,0.03,83.38,313.11,69.28,184.68,0.16
26,2024-11-20,0.48,IC,6.05,0,85.06,0.02,6.58,0,0,0.02,20.58,18.58,9.82,61.07,0.12
27,2024-11-20,0.92,IC,2.65,0,187.36,0.03,493.4,0,0,0.03,85.63,328.04,72.93,190.55,0.17
28,2024-11-20,0.7,IC,8.72,0,118.5,0.04,36.36,0,0,0.02,21.14,16.74,12.3,92.79,0.13
29,2024-11-20,0.68,IC,2.22,0,31.62,0.03,300.89,0.04,0,0,70.33,353.64,87.36,224.72,0.03
30,2024-11-20,0.78,IC,11.11,0,91.17,0.03,23.56,0,0,0.02,9.37,8.81,10.95,89.52,0.11
31,2024-11-20,1.74,IC,5.43,0,138.25,0.04,371.28,0.03,0,0.03,81.35,352.51,57.49,144.36,0.24
32,2024-11-20,0.43,IC,15.26,0,103.21,0.03,18.25,0,0,0.03,18.1,18.14,19.57,129.91,0.09
1,2024-12-04,12.61,IC,15.63,0,110.34,0.02,314.75,0.09,0,0,56.83,280.01,48.64,181.18,0.22
2,2024-12-04,14.36,IC,8.81,0,82.59,0.03,10.19,0,0,0,7.02,7.2,11.21,127.59,0.15
3,2024-12-04,11.465,IC,15.47,0,108.54,0.03,191.23,0.02,0,0,60.82,278.55,53.55,153.65,0.14
4,2024-12-04,15.33,IC,12.38,0,54.59,0.03,1.36,0,0,0,6.68,9.68,7.63,84,0.19
5,2024-12-04,14.31,IC,30.52,0,151.84,0,367.64,0.12,0,0.02,75.25,344.89,61.45,212.4,0.2
6,2024-12-04,16.035,IC,10.95,0,63.38,0.03,1.33,0,0,0,5.41,6.03,7.39,77.58,0.2
7,2024-12-04,12.86,IC,16.97,0,30.52,0.02,231.03,0,0,0.02,63.14,314.79,62.76,192.26,0.12
8,2024-12-04,14.835,IC,12.67,0,57.13,0.04,1.61,0,0,0,5.08,3.21,8.03,91.64,0.19
9,2024-12-04,16.125,IC,15.53,0,26.47,0.03,212.72,0.18,0,0,60.36,276.85,49.13,166.11,0.19
10,2024-12-04,16.495,IC,10.9,0,50.43,0.03,0.87,0,0,0,6.84,10.59,6.9,74.49,0.18
11,2024-12-04,15.62,IC,21.01,0,116.7,0,221.34,0.17,0,0.02,60.01,245.94,45.79,165.41,0.2
12,2024-12-04,17.04,IC,12.95,0,45.19,0.03,1.04,0,0,0,5.88,8.29,7.11,83.26,0.19
13,2024-12-04,15.14,IC,19.18,0,103.14,0.04,171.89,0.16,0,0,61.53,279.4,44.17,145.12,0.2
14,2024-12-04,16.36,IC,12.5,0,51.78,0.03,1.02,0,0,0,6.13,9.71,7.03,78.28,0.2
15,2024-12-04,15.14,IC,18.29,0,128.38,0.03,232.43,0.15,0,0,63.4,249.6,48.02,176.78,0.21
16,2024-12-04,16.095,IC,13.31,0,57.57,0.03,3.89,0,0,0,6.83,6.38,10.43,120.51,0.16
17,2024-12-04,15.3,IC,25.46,0,162.4,0.03,333.2,0.02,0,0.02,72.3,293.79,61.29,213.1,0.2
18,2024-12-04,17.375,IC,12.95,0,35.22,0.03,2.32,0,0,0,4.9,7.48,8.48,101,0.17
19,2024-12-04,15.71,IC,23.28,0,118.56,0.03,177.45,0.2,0,0.03,60.52,299.9,45.5,147.66,0.21
20,2024-12-04,16.88,IC,9.53,0,49.66,0.03,1.57,0,0,0,6.74,7.11,10.38,122.51,0.14
21,2024-12-04,15.605,IC,18.95,0,133.93,0.02,227.8,0,0,0.03,64.93,267.62,53.7,155.87,0.18
22,2024-12-04,15.73,IC,10.98,0,63.27,0,1.94,0,0,0.03,5.3,8.35,6.8,78.22,0.12
23,2024-12-04,15.15,IC,17.3,0,30.16,0,223.96,0,0,0.03,62.9,276.25,56.63,168.58,0.17
24,2024-12-04,15.075,IC,8.74,0,65.69,0.03,4.82,0,0,0,7.77,9.73,8.65,86.65,0.19
25,2024-12-04,14.065,IC,20.06,0,35.13,0,245.13,0,0,0.03,64.87,272.5,57.67,186.04,0.18
26,2024-12-04,15.01,IC,9.49,0,59.36,0,2.27,0,0,0,7.44,6.84,10.2,101.13,0.15
27,2024-12-04,13.815,IC,15.1,0,43.89,0.03,333.02,0,0,0.03,69.41,293.15,63.74,213.61,0.18
28,2024-12-04,14.9,IC,11.16,0,87.05,0.03,15.67,0,0,0,8.73,7.45,9.97,108.76,0.18
29,2024-12-04,13.41,IC,5.15,0,29.37,0,288.31,0,0.03,0,65.73,313.76,80.87,211.2,0.06
30,2024-12-04,14.63,IC,12.82,0,74.17,0.03,11.75,0,0,0,7.17,7.05,9.73,101.77,0.15
31,2024-12-04,14.17,IC,14.29,0,27.72,0.02,287.11,0.08,0,0.03,62.39,289.76,55.35,178.45,0.21
